CAP_Round,Institute_Code,Institute_Name,Course_Code,Course_Name,Category,Merit_No,Percentile,Section,Status_Type,Page_No
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOPENS,34240,88.5013511,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSCS,62739,77.8445199,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSTS,91124,65.8812284,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GVJS,54224,81.2928705,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GNT1S,34281,88.4426131,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GNT2S,41658,85.7455441,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GNT3S,35923,87.8945473,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOBCS,42649,85.3822102,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSEBCS,69130,75.3516004,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LOPENS,35071,88.1228442,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSCS,47557,83.6393990,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSTS,89332,66.8505265,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LVJS,54046,81.3738935,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LNT2S,80230,70.8722936,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LOBCS,47396,83.6467428,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSEBCS,112136,55.2318816,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDOPENS,115494,53.7694785,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDOBCS,153595,27.6622718,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,DEFOPENS,88930,67.0458361,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,DEFOBCS,124882,47.9842799,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,TFWS,41891,85.5352459,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDROBC,155782,25.6482713,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,DEFRSEBC,120638,50.6340761,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GOPENS,7872,97.3911937,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSCS,17571,94.1713006,State Level,Government Autonomous Home University : Autonomous Institute,1
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSTS,56026,80.5896708,State Level,Government Autonomous Home University : Autonomous Institute,1
